Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
408,290943.0,223825.95,113955.59,57217.047,43475.105
409,292504.7,223120.02,113899.56,57265.547,43456.688
410,291683.38,223270.89,114636.6,57269.46,43415.652
411,292478.16,223192.22,114697.484,57250.35,43438.668
412,291766.72,222445.42,113870.04,58072.15,43379.645
413,292637.12,221754.39,113831.43,58056.836,44185.027
414,292806.5,222448.66,113812.445,58044.297,44175.473
415,292894.66,221952.66,113776.2,57240.305,44172.45
416,292110.22,221838.55,113723.75,57271.387,44172.457
417,292794.4,221936.9,113651.336,57268.816,44148.34
418,292888.44,221994.05,112779.695,57273.504,44132.848
419,292872.06,222014.45,112744.18,57277.586,44116.793
420,291987.94,222023.3,112702.52,57289.3,44077.0
421,291252.8,222921.36,112595.36,57264.97,44041.168
422,290476.66,222766.11,114129.664,57255.918,44828.633
423,290566.28,222828.33,114081.46,57224.055,44821.566
424,290454.16,223683.62,113270.805,57214.45,44808.836
425,291369.34,223587.19,113249.164,57183.242,44784.96
426,291465.25,223536.64,113197.82,56364.973,44784.383
427,291548.16,224458.02,113925.1,56322.02,45356.31
428,291661.12,223319.23,113110.266,56313.23,45341.44
429,293116.34,223489.48,113104.22,54742.34,45405.535
430,291833.28,222645.9,113049.58,54737.6,45408.355
431,293079.66,223394.16,113009.77,57670.64,44565.89
432,291091.03,223299.55,113878.58,58069.34,43414.39
433,291972.12,221644.4,113857.81,58068.05,44211.668
434,292791.06,221770.66,113783.69,57270.617,44209.91
435,292041.97,221946.86,113787.336,57289.56,44193.4
436,292045.1,221898.52,113726.59,57278.953,44157.836
437,292076.53,222044.84,113681.19,57299.492,44145.53
438,291244.56,222135.97,112781.86,57308.156,44133.902
439,291932.4,222036.88,112739.3,57320.625,44138.69
440,292038.9,222083.75,112679.61,57315.184,44117.363
441,291266.12,222135.62,112659.305,57305.387,44107.805
442,291420.3,222932.16,114180.74,57292.504,44836.254
443,291428.6,222882.72,113314.484,57249.805,44836.297
444,291466.12,223778.89,113291.3,57200.14,44818.883
445,291557.25,223446.72,113271.695,57194.492,44811.305
446,291454.25,223667.16,113222.22,56381.594,44790.344
447,291476.22,223630.88,113151.805,56365.21,44761.78
448,291522.84,223422.55,113941.78,56361.1,44748.348
449,292302.7,223653.03,113118.766,56348.617,45359.09
450,292312.16,223523.64,113088.805,56333.496,46151.348
451,293124.0,223385.83,113113.04,54725.12,45393.3
452,292307.12,222673.77,113058.18,54752.99,45407.754
453,291493.06,222493.03,112258.92,54757.938,45421.055
454,291445.1,223414.72,112242.555,54742.484,44645.992
455,292243.25,222890.83,113561.77,57916.062,43191.727
456,290912.34,223223.69,113869.75,57280.934,43446.01
457,292591.8,221607.98,113879.36,58079.977,43417.39
